date,city,max_temp,min_temp,precip,max_wind,sunrise,sunset,snowfall,apparent_temp_max,apparent_temp_min,rain_sum
2026-02-09,New York,-4.0,-14.6,0.0,20.1,2026-02-09T11:57,2026-02-09T22:23,0.0,-8.2,-20.2,0.0
2026-02-09,London,10.1,6.4,4.4,14.9,2026-02-09T07:25,2026-02-09T17:04,0.0,7.4,3.8,4.4
2026-02-09,Tokyo,9.1,-0.4,0.0,13.3,2026-02-08T21:34,2026-02-09T08:16,0.0,4.8,-4.4,0.0
